mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
18,1.463798999786377,0.09014808001311224,0.19435245990753175,0.020738183513191497,1,balanced,1,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.7213915588782089,0.7646280734516029,0.6755174291938997,0.7126322751322751,0.7167950513538749,0.7090336134453782,0.6795623909941335,0.6616854288885365,0.7495837957824638,0.69613128270176,0.7086960899822135,0.030594181519913242,1
12,2.1205617666244505,0.04146627150715478,0.27728824615478515,0.006359032837301201,0.1,balanced,10,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 10, 'kernel': 'rbf'}",0.7151813614967762,0.7496109554933085,0.6879668534080299,0.7045790538437597,0.6864106753812635,0.7102007469654528,0.6695734897732678,0.6688996353258285,0.7639725701601395,0.6979942920564453,0.7054389633904272,0.02973197698132089,2
24,1.5474096059799194,0.05495942443159073,0.1828148365020752,0.007748593708178451,10,balanced,0.1,rbf,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.728392864206321,0.7384842826019297,0.6752840024898848,0.7104147214441332,0.6945806100217864,0.7128851540616246,0.6630331377834153,0.6501902647851594,0.7585420960837165,0.6835262406849533,0.7015333374162924,0.03274835542690057,3
5,2.2533350229263305,0.04655148267876939,0.3209168195724487,0.019292428415941237,0.01,balanced,10,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 10, 'kernel': 'rbf'}",0.708575610142004,0.7458761282290693,0.6841153127917833,0.701622315592904,0.6881224712107064,0.7060768751945222,0.6779768511178057,0.6621214523545268,0.7517639131124148,0.6826541937529728,0.700890512349871,0.027392284606231377,4
31,1.8036460161209107,0.042852090803733624,0.17775917053222656,0.012333022385720108,100,balanced,0.1,rbf,"{'C': 100, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.7138760333847554,0.7522175536881419,0.6529139433551199,0.70687441643324,0.7083527855586679,0.7189931528166822,0.6807119074044712,0.6435309973045822,0.7424885048358966,0.6833280482004123,0.700328734298197,0.033551461319645516,5
44,6.6309329748153685,0.6225207278515135,0.19100725650787354,0.0162295349310783,10000,balanced,0.01,rbf,"{'C': 10000, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",0.720244452355524,0.7394179894179895,0.6799914410208527,0.706135231870526,0.7067966075319017,0.7109399315281669,0.6775804661487237,0.6396464246075788,0.7334509275408275,0.681861423814809,0.69960648958369,0.02856411870667473,6
38,3.237585711479187,0.2195156201108584,0.1494727373123169,0.010548497087336229,1000,balanced,0.1,rbf,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.7186622364621653,0.7411686896981015,0.6669584500466853,0.6822868036103329,0.7080026455026455,0.7033146591970121,0.7050895830030124,0.6286665609640083,0.7345608054542572,0.6997780244173142,0.6988488458355535,0.03133573215845959,7
37,2.4405256271362306,0.10461996733997703,0.19790053367614746,0.012172289177840023,1000,balanced,0.01,rbf,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",0.725979984968949,0.736344537815126,0.6700708061002179,0.6936858076563959,0.6871498599439776,0.7107454092748211,0.6569288092595529,0.6467813540510542,0.7598105279847788,0.666996987474235,0.6954494084529108,0.035155186883468796,8
25,1.1540724754333496,0.019101584352474207,0.1451855182647705,0.00661510997364266,10,balanced,1,rbf,"{'C': 10, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6815988291602388,0.7339713663243075,0.6858271086212263,0.6782407407407407,0.6961367880485527,0.6741363211951447,0.6908197241160616,0.6522118281274774,0.7289321388932932,0.7049310290153796,0.6926805874242423,0.02354671921826007,9
11,1.926120400428772,0.08071092035462443,0.24375059604644775,0.012894832196945743,0.1,balanced,1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.7262173173529529,0.7212496109554933,0.6914293495175847,0.6853991596638656,0.6823646125116714,0.6937441643323996,0.6383779927065165,0.6588314571111464,0.7521206595845885,0.6761931187569368,0.6925927442493156,0.031626656057643386,10
46,2.5810646057128905,0.1050720077865044,0.10650763511657715,0.0044895370312123695,10000,balanced,1,rbf,"{'C': 10000, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.688481468296349,0.7190709617180207,0.6616674447556801,0.6562597261126673,0.7130602240896359,0.6693121693121693,0.6866180434437926,0.6422625654035199,0.7774100206120184,0.7080228317742192,0.6922165455518072,0.037356164838975456,11
39,1.867623996734619,0.08286215407743897,0.1154716968536377,0.006226747931723046,1000,balanced,1,rbf,"{'C': 1000, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6819943831335786,0.7160364145658262,0.6589830376595083,0.6545868347338935,0.7136437908496731,0.6754979769685652,0.6995798319327731,0.6387743776755985,0.7659941335024576,0.7164261931187569,0.6921516974140631,0.03587542067196373,12
